sim_time_min,type,entity_id,atm_id,wait_min,service_min,queue_len,message
3.656877,LOG,,,,,1,ARRIVAL c001 -> q=1
3.656877,ARRIVAL,c001,,,,1,
3.656877,LOG,,,,,0,"START   ATM1 <- c001 (wait=0.00m, st=4.55m)"
3.656877,START,c001,1,0.000000,4.547684,0,
5.444230,LOG,,,,,1,ARRIVAL c002 -> q=1
5.444230,ARRIVAL,c002,,,,1,
5.444230,LOG,,,,,0,"START   ATM2 <- c002 (wait=0.00m, st=1.99m)"
5.444230,START,c002,2,0.000000,1.987771,0,
7.432002,LOG,,,,,0,DONE    ATM2 -> c002
7.432002,DONE,c002,2,,,0,
8.204561,LOG,,,,,0,DONE    ATM1 -> c001
8.204561,DONE,c001,1,,,0,
9.383788,LOG,,,,,1,ARRIVAL c003 -> q=1
9.383788,ARRIVAL,c003,,,,1,
9.383788,LOG,,,,,0,"START   ATM1 <- c003 (wait=0.00m, st=4.52m)"
9.383788,START,c003,1,0.000000,4.519024,0,
13.902812,LOG,,,,,0,DONE    ATM1 -> c003
13.902812,DONE,c003,1,,,0,
14.610933,LOG,,,,,1,ARRIVAL c004 -> q=1
14.610933,ARRIVAL,c004,,,,1,
14.610933,LOG,,,,,0,"START   ATM1 <- c004 (wait=0.00m, st=1.56m)"
14.610933,START,c004,1,0.000000,1.562203,0,
15.006864,LOG,,,,,1,ARRIVAL c005 -> q=1
15.006864,ARRIVAL,c005,,,,1,
15.006864,LOG,,,,,0,"START   ATM2 <- c005 (wait=0.00m, st=1.68m)"
15.006864,START,c005,2,0.000000,1.684133,0,
16.173136,LOG,,,,,0,DONE    ATM1 -> c004
16.173136,DONE,c004,1,,,0,
16.690997,LOG,,,,,0,DONE    ATM2 -> c005
16.690997,DONE,c005,2,,,0,
20.332083,LOG,,,,,1,ARRIVAL c006 -> q=1
20.332083,ARRIVAL,c006,,,,1,
20.332083,LOG,,,,,0,"START   ATM1 <- c006 (wait=0.00m, st=3.45m)"
20.332083,START,c006,1,0.000000,3.451118,0,
23.783201,LOG,,,,,0,DONE    ATM1 -> c006
23.783201,DONE,c006,1,,,0,
33.978286,LOG,,,,,1,ARRIVAL c007 -> q=1
33.978286,ARRIVAL,c007,,,,1,
33.978286,LOG,,,,,0,"START   ATM1 <- c007 (wait=0.00m, st=3.82m)"
33.978286,START,c007,1,0.000000,3.823980,0,
36.154529,LOG,,,,,1,ARRIVAL c008 -> q=1
36.154529,ARRIVAL,c008,,,,1,
36.154529,LOG,,,,,0,"START   ATM2 <- c008 (wait=0.00m, st=7.58m)"
36.154529,START,c008,2,0.000000,7.581597,0,
36.613428,LOG,,,,,1,ARRIVAL c009 -> q=1
36.613428,ARRIVAL,c009,,,,1,
37.712958,LOG,,,,,2,ARRIVAL c010 -> q=2
37.712958,ARRIVAL,c010,,,,2,
37.802266,LOG,,,,,2,DONE    ATM1 -> c007
37.802266,DONE,c007,1,,,2,
37.802266,LOG,,,,,1,"START   ATM1 <- c009 (wait=1.19m, st=1.46m)"
37.802266,START,c009,1,1.188837,1.464779,1,
39.267045,LOG,,,,,1,DONE    ATM1 -> c009
39.267045,DONE,c009,1,,,1,
39.267045,LOG,,,,,0,"START   ATM1 <- c010 (wait=1.55m, st=2.94m)"
39.267045,START,c010,1,1.554087,2.939661,0,
42.206706,LOG,,,,,0,DONE    ATM1 -> c010
42.206706,DONE,c010,1,,,0,
43.736126,LOG,,,,,0,DONE    ATM2 -> c008
43.736126,DONE,c008,2,,,0,
51.516927,LOG,,,,,1,ARRIVAL c011 -> q=1
51.516927,ARRIVAL,c011,,,,1,
51.516927,LOG,,,,,0,"START   ATM1 <- c011 (wait=0.00m, st=7.19m)"
51.516927,START,c011,1,0.000000,7.189197,0,
55.682857,LOG,,,,,1,ARRIVAL c012 -> q=1
55.682857,ARRIVAL,c012,,,,1,
55.682857,LOG,,,,,0,"START   ATM2 <- c012 (wait=0.00m, st=3.08m)"
55.682857,START,c012,2,0.000000,3.075961,0,
58.671688,LOG,,,,,1,ARRIVAL c013 -> q=1
58.671688,ARRIVAL,c013,,,,1,
58.706124,LOG,,,,,1,DONE    ATM1 -> c011
58.706124,DONE,c011,1,,,1,
58.706124,LOG,,,,,0,"START   ATM1 <- c013 (wait=0.03m, st=2.08m)"
58.706124,START,c013,1,0.034436,2.078470,0,
58.758818,LOG,,,,,0,DONE    ATM2 -> c012
58.758818,DONE,c012,2,,,0,
60.784594,LOG,,,,,0,DONE    ATM1 -> c013
60.784594,DONE,c013,1,,,0,
68.428293,LOG,,,,,1,ARRIVAL c014 -> q=1
68.428293,ARRIVAL,c014,,,,1,
68.428293,LOG,,,,,0,"START   ATM1 <- c014 (wait=0.00m, st=5.36m)"
68.428293,START,c014,1,0.000000,5.361597,0,
73.789891,LOG,,,,,0,DONE    ATM1 -> c014
73.789891,DONE,c014,1,,,0,
77.314658,LOG,,,,,1,ARRIVAL c015 -> q=1
77.314658,ARRIVAL,c015,,,,1,
77.314658,LOG,,,,,0,"START   ATM1 <- c015 (wait=0.00m, st=2.31m)"
77.314658,START,c015,1,0.000000,2.309968,0,
79.624627,LOG,,,,,0,DONE    ATM1 -> c015
79.624627,DONE,c015,1,,,0,
86.337929,LOG,,,,,1,ARRIVAL c016 -> q=1
86.337929,ARRIVAL,c016,,,,1,
86.337929,LOG,,,,,0,"START   ATM1 <- c016 (wait=0.00m, st=3.96m)"
86.337929,START,c016,1,0.000000,3.959319,0,
89.366333,LOG,,,,,1,ARRIVAL c017 -> q=1
89.366333,ARRIVAL,c017,,,,1,
89.366333,LOG,,,,,0,"START   ATM2 <- c017 (wait=0.00m, st=1.45m)"
89.366333,START,c017,2,0.000000,1.450196,0,
90.297248,LOG,,,,,0,DONE    ATM1 -> c016
90.297248,DONE,c016,1,,,0,
90.816528,LOG,,,,,0,DONE    ATM2 -> c017
90.816528,DONE,c017,2,,,0,
92.962585,LOG,,,,,1,ARRIVAL c018 -> q=1
92.962585,ARRIVAL,c018,,,,1,
92.962585,LOG,,,,,0,"START   ATM1 <- c018 (wait=0.00m, st=3.05m)"
92.962585,START,c018,1,0.000000,3.051362,0,
96.013948,LOG,,,,,0,DONE    ATM1 -> c018
96.013948,DONE,c018,1,,,0,
106.397004,LOG,,,,,1,ARRIVAL c019 -> q=1
106.397004,ARRIVAL,c019,,,,1,
106.397004,LOG,,,,,0,"START   ATM1 <- c019 (wait=0.00m, st=3.16m)"
106.397004,START,c019,1,0.000000,3.155079,0,
108.417988,LOG,,,,,1,ARRIVAL c020 -> q=1
108.417988,ARRIVAL,c020,,,,1,
108.417988,LOG,,,,,0,"START   ATM2 <- c020 (wait=0.00m, st=5.81m)"
108.417988,START,c020,2,0.000000,5.813434,0,
109.552083,LOG,,,,,0,DONE    ATM1 -> c019
109.552083,DONE,c019,1,,,0,
113.112327,LOG,,,,,1,ARRIVAL c021 -> q=1
113.112327,ARRIVAL,c021,,,,1,
113.112327,LOG,,,,,0,"START   ATM1 <- c021 (wait=0.00m, st=2.17m)"
113.112327,START,c021,1,0.000000,2.166588,0,
114.231423,LOG,,,,,0,DONE    ATM2 -> c020
114.231423,DONE,c020,2,,,0,
115.118888,LOG,,,,,1,ARRIVAL c022 -> q=1
115.118888,ARRIVAL,c022,,,,1,
115.118888,LOG,,,,,0,"START   ATM2 <- c022 (wait=0.00m, st=4.08m)"
115.118888,START,c022,2,0.000000,4.083947,0,
115.278915,LOG,,,,,0,DONE    ATM1 -> c021
115.278915,DONE,c021,1,,,0,
116.560035,LOG,,,,,1,ARRIVAL c023 -> q=1
116.560035,ARRIVAL,c023,,,,1,
116.560035,LOG,,,,,0,"START   ATM1 <- c023 (wait=0.00m, st=2.80m)"
116.560035,START,c023,1,0.000000,2.795972,0,
119.202835,LOG,,,,,0,DONE    ATM2 -> c022
119.202835,DONE,c022,2,,,0,
119.356006,LOG,,,,,0,DONE    ATM1 -> c023
119.356006,DONE,c023,1,,,0,
122.217979,LOG,,,,,1,ARRIVAL c024 -> q=1
122.217979,ARRIVAL,c024,,,,1,
122.217979,LOG,,,,,0,"START   ATM1 <- c024 (wait=0.00m, st=4.54m)"
122.217979,START,c024,1,0.000000,4.537539,0,
126.755518,LOG,,,,,0,DONE    ATM1 -> c024
126.755518,DONE,c024,1,,,0,
129.840347,LOG,,,,,1,ARRIVAL c025 -> q=1
129.840347,ARRIVAL,c025,,,,1,
129.840347,LOG,,,,,0,"START   ATM1 <- c025 (wait=0.00m, st=2.31m)"
129.840347,START,c025,1,0.000000,2.307523,0,
132.147870,LOG,,,,,0,DONE    ATM1 -> c025
132.147870,DONE,c025,1,,,0,
144.608856,LOG,,,,,1,ARRIVAL c026 -> q=1
144.608856,ARRIVAL,c026,,,,1,
144.608856,LOG,,,,,0,"START   ATM1 <- c026 (wait=0.00m, st=6.00m)"
144.608856,START,c026,1,0.000000,6.004855,0,
148.699198,LOG,,,,,1,ARRIVAL c027 -> q=1
148.699198,ARRIVAL,c027,,,,1,
148.699198,LOG,,,,,0,"START   ATM2 <- c027 (wait=0.00m, st=6.11m)"
148.699198,START,c027,2,0.000000,6.114030,0,
150.613711,LOG,,,,,0,DONE    ATM1 -> c026
150.613711,DONE,c026,1,,,0,
152.780338,LOG,,,,,1,ARRIVAL c028 -> q=1
152.780338,ARRIVAL,c028,,,,1,
152.780338,LOG,,,,,0,"START   ATM1 <- c028 (wait=0.00m, st=3.81m)"
152.780338,START,c028,1,0.000000,3.811626,0,
153.465090,LOG,,,,,1,ARRIVAL c029 -> q=1
153.465090,ARRIVAL,c029,,,,1,
154.813229,LOG,,,,,1,DONE    ATM2 -> c027
154.813229,DONE,c027,2,,,1,
154.813229,LOG,,,,,0,"START   ATM2 <- c029 (wait=1.35m, st=2.60m)"
154.813229,START,c029,2,1.348138,2.604504,0,
155.549571,LOG,,,,,1,ARRIVAL c030 -> q=1
155.549571,ARRIVAL,c030,,,,1,
156.591965,LOG,,,,,1,DONE    ATM1 -> c028
156.591965,DONE,c028,1,,,1,
156.591965,LOG,,,,,0,"START   ATM1 <- c030 (wait=1.04m, st=2.81m)"
156.591965,START,c030,1,1.042394,2.809579,0,
157.002737,LOG,,,,,1,ARRIVAL c031 -> q=1
157.002737,ARRIVAL,c031,,,,1,
157.417732,LOG,,,,,1,DONE    ATM2 -> c029
157.417732,DONE,c029,2,,,1,
157.417732,LOG,,,,,0,"START   ATM2 <- c031 (wait=0.41m, st=3.20m)"
157.417732,START,c031,2,0.414996,3.199809,0,
157.943960,LOG,,,,,1,ARRIVAL c032 -> q=1
157.943960,ARRIVAL,c032,,,,1,
159.401544,LOG,,,,,1,DONE    ATM1 -> c030
159.401544,DONE,c030,1,,,1,
159.401544,LOG,,,,,0,"START   ATM1 <- c032 (wait=1.46m, st=0.84m)"
159.401544,START,c032,1,1.457584,0.842787,0,
160.244331,LOG,,,,,0,DONE    ATM1 -> c032
160.244331,DONE,c032,1,,,0,
160.617541,LOG,,,,,0,DONE    ATM2 -> c031
160.617541,DONE,c031,2,,,0,
161.078106,LOG,,,,,1,ARRIVAL c033 -> q=1
161.078106,ARRIVAL,c033,,,,1,
161.078106,LOG,,,,,0,"START   ATM1 <- c033 (wait=0.00m, st=2.29m)"
161.078106,START,c033,1,0.000000,2.291278,0,
163.369384,LOG,,,,,0,DONE    ATM1 -> c033
163.369384,DONE,c033,1,,,0,
163.397268,LOG,,,,,1,ARRIVAL c034 -> q=1
163.397268,ARRIVAL,c034,,,,1,
163.397268,LOG,,,,,0,"START   ATM1 <- c034 (wait=0.00m, st=2.95m)"
163.397268,START,c034,1,0.000000,2.954160,0,
166.351429,LOG,,,,,0,DONE    ATM1 -> c034
166.351429,DONE,c034,1,,,0,
175.880179,LOG,,,,,1,ARRIVAL c035 -> q=1
175.880179,ARRIVAL,c035,,,,1,
175.880179,LOG,,,,,0,"START   ATM1 <- c035 (wait=0.00m, st=2.73m)"
175.880179,START,c035,1,0.000000,2.734296,0,
178.614475,LOG,,,,,0,DONE    ATM1 -> c035
178.614475,DONE,c035,1,,,0,
178.880181,LOG,,,,,1,ARRIVAL c036 -> q=1
178.880181,ARRIVAL,c036,,,,1,
178.880181,LOG,,,,,0,"START   ATM1 <- c036 (wait=0.00m, st=3.63m)"
178.880181,START,c036,1,0.000000,3.634006,0,
182.514188,LOG,,,,,0,DONE    ATM1 -> c036
182.514188,DONE,c036,1,,,0,
192.438628,LOG,,,,,1,ARRIVAL c037 -> q=1
192.438628,ARRIVAL,c037,,,,1,
192.438628,LOG,,,,,0,"START   ATM1 <- c037 (wait=0.00m, st=1.19m)"
192.438628,START,c037,1,0.000000,1.185826,0,
192.768853,LOG,,,,,1,ARRIVAL c038 -> q=1
192.768853,ARRIVAL,c038,,,,1,
192.768853,LOG,,,,,0,"START   ATM2 <- c038 (wait=0.00m, st=1.98m)"
192.768853,START,c038,2,0.000000,1.977112,0,
193.624453,LOG,,,,,0,DONE    ATM1 -> c037
193.624453,DONE,c037,1,,,0,
194.447501,LOG,,,,,1,ARRIVAL c039 -> q=1
194.447501,ARRIVAL,c039,,,,1,
194.447501,LOG,,,,,0,"START   ATM1 <- c039 (wait=0.00m, st=2.58m)"
194.447501,START,c039,1,0.000000,2.582462,0,
194.745965,LOG,,,,,0,DONE    ATM2 -> c038
194.745965,DONE,c038,2,,,0,
195.363615,LOG,,,,,1,ARRIVAL c040 -> q=1
195.363615,ARRIVAL,c040,,,,1,
195.363615,LOG,,,,,0,"START   ATM2 <- c040 (wait=0.00m, st=1.46m)"
195.363615,START,c040,2,0.000000,1.463512,0,
196.827127,LOG,,,,,0,DONE    ATM2 -> c040
196.827127,DONE,c040,2,,,0,
197.029963,LOG,,,,,0,DONE    ATM1 -> c039
197.029963,DONE,c039,1,,,0,
197.470741,LOG,,,,,1,ARRIVAL c041 -> q=1
197.470741,ARRIVAL,c041,,,,1,
197.470741,LOG,,,,,0,"START   ATM1 <- c041 (wait=0.00m, st=3.65m)"
197.470741,START,c041,1,0.000000,3.646750,0,
201.117491,LOG,,,,,0,DONE    ATM1 -> c041
201.117491,DONE,c041,1,,,0,
203.402478,LOG,,,,,1,ARRIVAL c042 -> q=1
203.402478,ARRIVAL,c042,,,,1,
203.402478,LOG,,,,,0,"START   ATM1 <- c042 (wait=0.00m, st=1.41m)"
203.402478,START,c042,1,0.000000,1.410101,0,
203.679492,LOG,,,,,1,ARRIVAL c043 -> q=1
203.679492,ARRIVAL,c043,,,,1,
203.679492,LOG,,,,,0,"START   ATM2 <- c043 (wait=0.00m, st=1.47m)"
203.679492,START,c043,2,0.000000,1.474180,0,
204.812579,LOG,,,,,0,DONE    ATM1 -> c042
204.812579,DONE,c042,1,,,0,
205.153671,LOG,,,,,0,DONE    ATM2 -> c043
205.153671,DONE,c043,2,,,0,
209.342319,LOG,,,,,1,ARRIVAL c044 -> q=1
209.342319,ARRIVAL,c044,,,,1,
209.342319,LOG,,,,,0,"START   ATM1 <- c044 (wait=0.00m, st=4.32m)"
209.342319,START,c044,1,0.000000,4.317570,0,
210.478401,LOG,,,,,1,ARRIVAL c045 -> q=1
210.478401,ARRIVAL,c045,,,,1,
210.478401,LOG,,,,,0,"START   ATM2 <- c045 (wait=0.00m, st=1.87m)"
210.478401,START,c045,2,0.000000,1.865984,0,
212.344384,LOG,,,,,0,DONE    ATM2 -> c045
212.344384,DONE,c045,2,,,0,
213.659889,LOG,,,,,0,DONE    ATM1 -> c044
213.659889,DONE,c044,1,,,0,
218.717700,LOG,,,,,1,ARRIVAL c046 -> q=1
218.717700,ARRIVAL,c046,,,,1,
218.717700,LOG,,,,,0,"START   ATM1 <- c046 (wait=0.00m, st=2.58m)"
218.717700,START,c046,1,0.000000,2.582447,0,
221.300147,LOG,,,,,0,DONE    ATM1 -> c046
221.300147,DONE,c046,1,,,0,
231.815647,LOG,,,,,1,ARRIVAL c047 -> q=1
231.815647,ARRIVAL,c047,,,,1,
231.815647,LOG,,,,,0,"START   ATM1 <- c047 (wait=0.00m, st=6.81m)"
231.815647,START,c047,1,0.000000,6.807152,0,
231.904415,LOG,,,,,1,ARRIVAL c048 -> q=1
231.904415,ARRIVAL,c048,,,,1,
231.904415,LOG,,,,,0,"START   ATM2 <- c048 (wait=0.00m, st=1.87m)"
231.904415,START,c048,2,0.000000,1.867539,0,
233.771954,LOG,,,,,0,DONE    ATM2 -> c048
233.771954,DONE,c048,2,,,0,
238.622799,LOG,,,,,0,DONE    ATM1 -> c047
238.622799,DONE,c047,1,,,0,
